1500.0000	83.9312
1499.0000	83.9438
1498.0000	83.9632
1497.0000	83.9673
1496.0000	83.9668
1495.0000	83.9694
1494.0000	83.9799
1493.0000	83.9974
1492.0000	84.011
1491.0000	84.0189
1490.0000	84.0282
1489.0000	84.0386
1488.0000	84.0431
1487.0000	84.0415
1486.0000	84.0412
1485.0000	84.0493
1484.0000	84.0669
1483.0000	84.0824
1482.0000	84.0897
1481.0000	84.0905
1480.0000	84.0935
1479.0000	84.1015
1478.0000	84.1072
1477.0000	84.1155
1476.0000	84.1276
1475.0000	84.1449
1474.0000	84.1601
1473.0000	84.1689
1472.0000	84.1647
1471.0000	84.1682
1470.0000	84.1769
1469.0000	84.1915
1468.0000	84.2035
1467.0000	84.2134
1466.0000	84.2266
1465.0000	84.2408
1464.0000	84.2486
1463.0000	84.2506
1462.0000	84.2494
1461.0000	84.2619
1460.0000	84.2794
1459.0000	84.2984
1458.0000	84.3077
1457.0000	84.3187
1456.0000	84.3305
1455.0000	84.3408
1454.0000	84.3449
1453.0000	84.352
1452.0000	84.358
1451.0000	84.3765
1450.0000	84.3967
1449.0000	84.4107
1448.0000	84.4102
1447.0000	84.4155
1446.0000	84.4268
1445.0000	84.4307
1444.0000	84.439
1443.0000	84.4487
1442.0000	84.4649
1441.0000	84.4837
1440.0000	84.4908
1439.0000	84.4968
1438.0000	84.5002
1437.0000	84.5087
1436.0000	84.5247
1435.0000	84.5382
1434.0000	84.5529
1433.0000	84.5612
1432.0000	84.5793
1431.0000	84.5857
1430.0000	84.5867
1429.0000	84.5901
1428.0000	84.6005
1427.0000	84.6205
1426.0000	84.6353
1425.0000	84.6415
1424.0000	84.6498
1423.0000	84.6618
1422.0000	84.6725
1421.0000	84.6764
1420.0000	84.6827
1419.0000	84.6955
1418.0000	84.7192
1417.0000	84.7365
1416.0000	84.7436
1415.0000	84.7443
1414.0000	84.7474
1413.0000	84.7595
1412.0000	84.7738
1411.0000	84.7851
1410.0000	84.7934
1409.0000	84.8085
1408.0000	84.8295
1407.0000	84.8408
1406.0000	84.8366
1405.0000	84.8415
1404.0000	84.8589
1403.0000	84.8798
1402.0000	84.8975
1401.0000	84.9106
1400.0000	84.9222
1399.0000	84.9343
1398.0000	84.9469
1397.0000	84.9532
1396.0000	84.9569
1395.0000	84.9651
1394.0000	84.9881
1393.0000	85.0056
1392.0000	85.0077
1391.0000	85.0066
1390.0000	85.0104
1389.0000	85.0303
1388.0000	85.0487
1387.0000	85.0661
1386.0000	85.094
1385.0000	85.1191
1384.0000	85.1529
1383.0000	85.1764
1382.0000	85.1901
1381.0000	85.1943
1380.0000	85.2171
1379.0000	85.2413
1378.0000	85.2598
1377.0000	85.2731
1376.0000	85.2794
1375.0000	85.2936
1374.0000	85.2981
1373.0000	85.2924
1372.0000	85.2984
1371.0000	85.3088
1370.0000	85.3298
1369.0000	85.3538
1368.0000	85.3744
1367.0000	85.386
1366.0000	85.4021
1365.0000	85.4281
1364.0000	85.4526
1363.0000	85.4686
1362.0000	85.4795
1361.0000	85.503
1360.0000	85.5281
1359.0000	85.5401
1358.0000	85.5438
1357.0000	85.5474
1356.0000	85.5606
1355.0000	85.5812
1354.0000	85.601
1353.0000	85.612
1352.0000	85.6179
1351.0000	85.63
1350.0000	85.642
1349.0000	85.6563
1348.0000	85.6611
1347.0000	85.6766
1346.0000	85.6988
1345.0000	85.7185
1344.0000	85.7295
1343.0000	85.7338
1342.0000	85.7431
1341.0000	85.7587
1340.0000	85.778
1339.0000	85.7949
1338.0000	85.8102
1337.0000	85.8322
1336.0000	85.8493
1335.0000	85.867
1334.0000	85.8759
1333.0000	85.8844
1332.0000	85.9048
1331.0000	85.9317
1330.0000	85.9596
1329.0000	85.9777
1328.0000	85.992
1327.0000	86.0049
1326.0000	86.0212
1325.0000	86.0383
1324.0000	86.0494
1323.0000	86.0653
1322.0000	86.0907
1321.0000	86.1153
1320.0000	86.1363
1319.0000	86.1501
1318.0000	86.16
1317.0000	86.1762
1316.0000	86.1943
1315.0000	86.2082
1314.0000	86.2267
1313.0000	86.2494
1312.0000	86.276
1311.0000	86.3016
1310.0000	86.3203
1309.0000	86.3315
1308.0000	86.3493
1307.0000	86.3694
1306.0000	86.3861
1305.0000	86.4038
1304.0000	86.4185
1303.0000	86.4384
1302.0000	86.4658
1301.0000	86.4826
1300.0000	86.4965
1299.0000	86.5123
1298.0000	86.5311
1297.0000	86.5539
1296.0000	86.5732
1295.0000	86.5904
1294.0000	86.6065
1293.0000	86.6309
1292.0000	86.6522
1291.0000	86.6715
1290.0000	86.685
1289.0000	86.7021
1288.0000	86.7267
1287.0000	86.7466
1286.0000	86.7636
1285.0000	86.7787
1284.0000	86.7968
1283.0000	86.8186
1282.0000	86.841
1281.0000	86.8558
1280.0000	86.8711
1279.0000	86.8919
1278.0000	86.9149
1277.0000	86.9351
1276.0000	86.9496
1275.0000	86.9621
1274.0000	86.9797
1273.0000	86.9978
1272.0000	87.0167
1271.0000	87.033
1270.0000	87.0512
1269.0000	87.0737
1268.0000	87.1051
1267.0000	87.1272
1266.0000	87.1423
1265.0000	87.1586
1264.0000	87.1801
1263.0000	87.2069
1262.0000	87.2256
1261.0000	87.2445
1260.0000	87.2656
1259.0000	87.2846
1258.0000	87.302
