Wavelength_nm,Transmittance,Simulated_Transmittance,Interference_Free_T,n,k,e1,e2,tan_delta,Skin_Depth_nm,Sigma_S_per_cm,Optical_Density,Energy_eV,Alpha_cm-1,Alpha_E,(AlphaE)^2,(AlphaE)^0.5,dAlpha_dE,ln_Alpha
190.0,0.6651375511280399,,,,,,,,122.62072390525454,146018801125924.22,0.40776141591394893,6.526315789473684,40776.141591394895,266117.9767017351,70818777523.82523,515.8662391567558,28882.898505137808,10.615852424433774
191.0,0.6717343274462856,,,,,,,,125.66212545989377,142484706766739.75,0.3978923626909204,6.492146596858639,39789.23626909204,258317.55483599022,66727959136.44481,508.24950057623295,29000.141784256324,10.591351709195349
192.0,0.6783802975153518,,,,,,,,128.85029235522168,138959181004237.94,0.388047237503794,6.458333333333333,38804.7237503794,250613.84088786697,62807297244.56911,500.6134645491139,29233.09272367088,10.566297264344703
193.0,0.6850754613352382,,,,,,,,132.1959950472416,135442311179243.45,0.3782262842541635,6.424870466321243,37822.628425416355,243005.4883290999,59051667358.06431,492.9558685410895,29465.425985066453,10.540662838089895
194.0,0.6918198189059452,,,,,,,,135.71108764626396,131934180238154.89,0.3684297345720703,6.391752577319588,36842.97345720703,235491.17055122022,55456091407.583885,485.27432504844126,29697.144345645676,10.514420199848493
195.0,0.6986133702274724,,,,,,,,139.40864762509003,128434866867009.12,0.3586578081903813,6.358974358974359,35865.78081903813,228069.58059285785,52015733591.80208,477.56631015269267,29928.250735565205,10.487538939382747
196.0,0.7054561152998201,,,,,,,,143.30313771602613,124944445622113.19,0.3489107133095824,6.326530612244898,34891.07133095824,220739.43086932768,48725896340.514694,469.82915072324715,30158.748228575918,10.459986239669798
197.0,0.7123480541229883,,,,,,,,147.41059421987177,121462987057307.03,0.3391886469531626,6.2944162436548226,33918.86469531626,213499.45290452876,45582016390.5331,462.06001006852864,30388.640033051546,10.431726619278377
198.0,0.7192891866969766,,,,,,,,151.74884689431642,117990557847914.9,0.329491795313752,6.262626262626263,32949.1795313752,206348.39706517803,42579660971.36837,454.2558718004403,30618.187618198514,10.402721639207133
199.0,0.7262796304293054,,,,,,,,156.33785580021222,114527163022622.95,0.31982017243409144,6.231155778894473,31982.017243409147,199284.9315669716,39714483949.65255,446.41340881180037,30846.873075869284,10.372929062679056
