Wavelength_nm,Transmittance,Simulated_Transmittance,Interference_Free_T,n,k,e1,e2,tan_delta,Skin_Depth_nm,Sigma_S_per_cm,Optical_Density,Energy_eV,Alpha_cm-1,Alpha_E,(AlphaE)^2,(AlphaE)^0.5,dAlpha_dE,ln_Alpha
190.0,0.005323815094938109,,,6.082411864805258,0.7366717611644812,36.4530488094266,8.961482121147652,0.24583628568279503,20.524364297376923,2735065738860526.0,10.390385647287355,6.526315789473684,487225.8090487134,3179789.4906337084,10111061204744.578,1783.196425140458,143280.15133363724,13.096482968212657
191.0,0.0053177977848562355,,,6.030617866951685,0.733107759125528,35.83090487070684,8.842185501166641,0.24677538937541024,20.732691580574954,2707583112568112.0,10.28598044717782,6.492146596858639,482330.04195988155,3131357.3404725296,9805398793731.193,1769.564166814114,144038.20559255034,13.08638389306573
192.0,0.005328005721602272,,,5.978823869098113,0.7294658385333335,35.21421444811019,8.722695534229528,0.24770382275765548,20.945291375867182,2680100486275697.5,10.181575247068288,6.458333333333333,477434.27487104974,3083429.6918755295,9507538664739.623,1755.969729771994,145550.36591111496,13.076181785179973
193.0,0.0053208064398971725,,,5.927029871244541,0.7257459993878975,34.60297583899754,8.603036434616582,0.24862128837185446,21.162296480202983,2652617859983284.0,10.077170046958756,6.424870466321243,472538.50778221793,3035998.702849483,9217288123703.744,1742.4117489415305,147070.42262821458,13.065874520546942
194.0,0.005327575913739281,,,5.875235873390968,0.7219482416892202,33.997187304301974,8.483232416608079,0.24952747827787697,21.383845251554078,2625135233690870.0,9.972764846849223,6.391752577319588,467642.7406933861,2989056.6930917464,8934459914516.566,1728.8888608270188,148598.3757438399,13.055459908794255
195.0,0.005337354042622326,,,5.823441875537396,0.7180725654373014,33.3968470685288,8.363307694484297,0.2504220735956939,21.610081903086876,2597652607398456.0,9.868359646739691,6.358974358974359,462746.9736045543,2942596.1398443454,8658872042226.843,1715.399702647854,150134.2252580002,13.044935690391785
196.0,0.0053334857718554075,,,5.771647877683823,0.7141189706321411,32.80195331975548,8.243286482525507,0.251304744023757,21.84115681620816,2570169981106041.5,9.763954446630157,6.326530612244898,457851.20651572244,2896609.673874979,8390347602786.111,1701.9429114617737,151677.97117068898,13.03429953370926
197.0,0.005353256933552993,,,5.719853879830251,0.7100874572737396,32.212504209631696,8.123192995011994,0.25217514733169677,22.077226873912068,2542687354813628.0,9.659549246520625,6.2944162436548226,452955.43942689063,2851090.0755804284,8128714619073.213,1688.5171232713124,153229.61348190624,13.023549031915692
198.0,0.00536776294892894,,,5.668059881976679,0.7059780253620965,31.62849785337932,8.003051446224028,0.253032928825725,22.318455815981245,2515204728521213.5,9.555144046411092,6.262626262626263,448059.6723380588,2806030.2712080455,7873805882935.897,1675.1209721115802,154789.15219165292,13.012681699710331
199.0,0.0053609934750868315,,,5.616265884123107,0.701790674897212,31.049932329792416,7.8828860504418845,0.2538777207850101,22.565014617731986,2487722102228800.0,9.45073884630156,6.231155778894473,443163.905249227,2761423.3291911636,7625458803001.21,1661.7530891173826,156356.58729993366,13.001694969874027
